1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
22.2316672,24.03833326,20.3566672,22.59166654,21.92833328,24.73000081,21.7683328,21.82500013,22.92333349,23.36333275,21.81833331,22.75666682,23.88166682,21.73833275,20.84333356,23.93333308,22.8333327,22.87500064,22.32333374,20.87833277
27.33166631,27.26666641,24.39166641,27.31333288,26.54666583,26.28000005,26.27833303,25.48166656,28.10999997,26.68666712,26.6299998,27.888333,26.45833333,26.84666697,24.30833308,26.33166758,27.87833277,26.17333285,26.47000058,26.24666723
19.37833277,19.6433328,15.90499942,16.8149999,17.30333392,19.46666718,17.9399999,18.4399999,18.22999986,18.51166662,17.55999978,19.20333354,19.39166641,18.89500046,15.92666658,19.47166634,20.07999992,19.18166669,17.48166656,16.31666629
27.26999919,26.263333,26.26166725,27.62666702,25.62166659,26.80833371,26.20833333,25.12166723,27.72500038,26.47666613,26.63666725,25.99166616,26.31166712,25.78833326,26.2966671,26.5466671,27.05999947,27.2549998,26.60000038,26.20666631
29.09000015,28.47500038,28.01166725,28.46999995,30.87833277,29.5,30.39666621,29.54000028,29.12000084,28.8100001,30.19333267,29.69999949,30.67333285,30.71833293,29.43333435,29.89500046,30.1899999,29.84000015,29.47499975,29.79333369
14.17666658,13.28999996,14.19999981,11.07999992,14.85833359,12.6766669,14.79333337,13.75500011,15.02166684,13.75999991,14.62833341,14.35333316,14.96499983,16.09166654,15.45500024,14.39499982,15.71999963,15.88166714,14.68499978,15.06666629
26.89333344,26.59833272,25.86000061,27.41833369,26.15166601,26.41166623,25.91833369,25.35500018,27.28500112,26.82666715,26.44166629,26.20000013,27.03666751,26.33499972,26.34999911,26.84833399,26.56333288,26.65999985,26.66666667,26.47166697
27.06999969,26.82333374,24.888333,27.75333341,26.15166664,26.72333336,25.83166631,25.92500051,28.62500064,27.35666593,27.16666667,27.73999914,26.82666651,26.55500094,25.08333397,27.26166662,27.50499916,26.89166705,26.53500048,26.33666674
20.68499947,21.125,17.19666672,16.80833371,19.46666718,20.18666649,19.99666595,20.0183328,19.94666672,19.64333344,20.42000008,20.69833374,21.39499982,20.96166611,18.30833308,20.23833402,22.08999952,21.37666575,19.41499996,17.50999928
25.19499969,24.44666672,23.97666613,25.61000061,26.74333382,25.39500046,25.46500015,25.50333341,26.98499997,25.65500005,26.09666634,26.87166595,26.32166672,25.8933328,24.80333328,25.14333344,25.98499934,24.66333262,25.36666679,26.02833303
24.9533329,25.60666656,21.45166588,23.23499997,24.67166646,24.41333389,23.52833366,23.96999931,24.77333387,24.19333394,25.50333405,25.60500018,26.16499964,25.17999967,22.71000036,25.02166684,25.83166695,25.16166623,24.33166695,23.45166651
19.88833364,20.91666667,17.99166679,19.79666646,19.6200002,22.25833321,19.48333359,19.36499977,20.6716671,20.81166649,19.77499962,20.77333387,21.24666595,20.0649999,18.39833387,21.5600001,20.68166669,20.58833377,19.87499936,18.52999942
17.71666654,18.58166758,14.87166723,16.49999968,16.91166687,19.0733331,17.25666618,17.07499949,17.02499962,17.39499919,16.51000023,18.04000028,18.51499939,17.80999978,15.09000015,18.05666606,18.28499985,17.93666649,16.43499947,14.986667
16.14666684,14.97499975,16.2549998,15.19333331,15.22166697,15.53666623,15.58166695,15.8766667,15.8216664,14.82999992,15.22166665,14.39666653,15.56333288,16.00333405,16.53999964,16.14166641,15.84833336,15.36666679,14.46333313,16.10999997
22.89166578,23.67833455,21.87833341,23.64333344,23.51833344,24.31166712,22.9216671,22.45833333,23.26666641,23.75666682,22.79666773,23.04333369,24.11999957,22.6766669,22.1200002,24.26666705,22.69499906,23.60999997,22.56833267,22.16833369
27.6850001,26.69666735,27.0833327,26.40166664,29.61499914,27.68166733,29.4216671,27.96666654,27.78499985,27.2916673,28.89666621,28.71000036,29.39833323,28.92500051,28.0049998,27.5466671,29.01499939,29.01666705,28.92333349,27.70000013
21.75666682,20.65500005,21.71333249,21.28666687,21.25833321,20.9533329,22.37500064,20.85833295,21.14666684,20.02833366,21.41500028,21.97166761,21.52999942,22.53166644,21.52833239,22.03666687,22.76999982,21.60500018,22.6299998,21.7450002
17.2083327,18.40000025,14.99166711,17.11333338,17.05500031,19.23500061,17.06833331,17.24000009,18.13166682,18.19166756,16.86999957,18.28333346,18.66166623,17.63333352,15.47666645,18.94166692,18.45999908,18.45833333,17.21500047,15.65166664
17.09333356,16.92499987,15.21500079,16.8283329,17.09500027,17.85500018,16.49833361,15.85499954,17.0233326,17.70666631,15.49000041,17.00833289,17.0649999,17.35999997,16.13666693,18.55166626,17.4950002,16.80833371,17.22166697,16.43166701
17.05166658,17.13333289,17.60333347,14.59166686,19.0583334,15.96166738,17.81833363,17.09333356,17.48333359,17.37499936,18.5933342,18.88999939,18.65499942,19.51000023,17.85000006,17.55833244,18.96166611,19.67500051,17.97166697,17.09166718
22.00666618,24.00833384,20.33666674,22.68166669,22.34833399,24.45000013,22.00666682,21.45333354,22.6433328,22.77666728,21.76333364,22.11500041,23.3799998,21.67333349,20.66499964,23.45999972,22.72166697,22.76500066,22.24666723,20.96999995
20.388333,20.71333249,17.68333371,16.72333304,20.01000023,20.42333349,20.64666684,20.78333346,20.37166659,19.47833379,20.36999957,20.57500013,20.34333356,21.30499967,17.96666686,20.02666664,21.63166682,21.43000031,19.65666707,18.25333341
19.12333361,20.14166705,16.3333327,17.54499976,18.15000025,20.04166667,19.05666669,18.93333308,18.72999954,19.26166662,18.42499987,19.94166629,19.95499992,19.388333,16.16000017,19.51999982,19.875,19.77833303,18.36166636,16.6899999
19.25833321,18.88666662,19.02666664,17.76500034,21.22166697,17.89999994,20.12166723,18.71166674,19.00000032,19.05000051,20.13333321,20.58833377,20.75500043,21,20.07166608,20.13333352,20.57500076,21.24666659,20.87666639,19.36833382
23.33000056,24.47500038,20.07166672,21.55000051,22.23000018,23.79833349,22.35166677,23.47666677,22.87333234,23.10666656,23.57000033,23.64499919,25.1533343,22.97500102,20.95833397,23.59833336,23.8149999,23.66333326,22.55499967,20.84333293
20.34999975,21.2683328,18.45666631,20.29500008,20.09666697,22.71500015,19.96500079,19.65166728,20.9483331,21.13833364,20.03499921,21.28000005,21.80333392,20.59500058,18.74833298,22.29666646,21.48000018,21.19500033,20.58666674,19.32500013
21.31666629,20.84000015,21.75166766,19.14833387,22.78000005,19.99833298,22.19166629,20.89499982,21.67833392,21.03500048,22.27333387,22.59333293,22.92333285,23.08166631,22.55833371,21.89000003,22.75166702,23.07166672,22.6200002,21.65166601
19.15999985,19.24333318,18.0516669,20.19166692,19.14499982,19.5783329,18.73333359,18.40666644,19.63499959,19.81999969,19.13833364,18.98666636,20.23000018,18.92666626,18.7549998,19.75166639,19.79833349,20.03999964,19.40333303,18.80000051
26.2966671,26.78666623,24.55666669,27.01666641,25.74666659,26.33166758,25.65833346,25.66833305,26.84666634,26.86333338,26.22333336,26.49000041,26.90333366,25.53833453,24.70666695,26.83999952,26.58833377,27.20833333,26.33666674,25.4399999
17.75999959,17.7266674,16.12833277,16.84333356,18.87833341,17.24166616,18.57500076,18.29333305,17.82999992,17.97333336,19.23666636,19.37333361,19.73833338,19.64166641,15.29166667,18.65166664,19.28499985,19.27166684,18.22666677,16.91333294
21.06999969,21.35666656,19.8566672,21.43166606,22.18500074,21.57666651,20.97166634,20.79666646,20.93499947,22.09833272,19.89666748,21.25333341,21.33666674,21.17833328,20.27500025,21.94833247,21.50333341,21.05500031,21.22500038,20.03333346
22.23833402,23.78666623,20.90333303,23.19833374,22.63499959,24.12666639,22.34833336,22.02833366,22.98333359,23.29333305,22.03333282,22.33666674,23.90333303,21.96000036,21.24333318,23.49666659,22.79166667,23.07166672,22.24000041,21.39000003
24.99500084,23.85999934,24.77833303,24.02333323,24.74833361,24.1583341,25.96999995,24.53000005,24.388333,23.51166662,24.74833298,25.01833344,24.60166613,25.28999964,24.47500038,24.97833316,25.88166682,24.96500015,25.4266669,24.60833295
24.66999944,24.81666629,23.01333364,25.388333,24.24499957,25.13500023,23.99666659,23.39333407,25.04666646,25.21999995,24.69500033,23.91999944,25.15166664,23.89666748,23.53500048,24.97666677,25.54666646,25.77833366,24.46166738,24.31999969
27.56166712,27.21166674,26.29499944,28.07000033,27.13333321,27.52666728,27.46833293,26.91333389,30.08166631,28.34999975,28.46166738,27.52999942,27.4683342,27.40833346,26.6850001,28.20500056,27.90000025,27.16999944,27.89000003,28.35166677
22.86499977,23.8983326,21.90666644,24.08833313,23.30666669,24.35000038,22.8799998,22.85833295,23.67000071,24.46500015,23.35000038,23.52499962,24.54999987,22.73499997,22.31833331,24.57166672,23.45500056,24.49833425,23.2450002,22.4766674
20.97666613,20.24999936,19.91666667,19.37166659,22.52000109,19.6016674,22.08666801,20.19333394,19.54166635,20.14166641,21.89166641,21.33166695,22.58833313,22.1200002,20.70333354,20.17333285,21.90666644,22.14166641,21.47333399,20.56833331
17.34833304,16.32666651,17.5733331,14.16000017,17.57666651,15.55499967,17.63500023,16.11666743,17.47833284,16.43833351,16.70166683,16.70000013,17.37333393,18.25666682,17.79500008,16.79833349,18.01833344,18.04333337,16.91999976,17.71500015
34.1533343,32.80499903,33.78499985,32.80666733,35.57166672,33.89166641,35.46333313,33.81333415,33.84500058,33.27000046,34.7549998,34.39000066,34.91666667,34.9033343,33.6816686,33.75,35.34833272,35.07666651,34.70000076,33.65666707
21.92833328,21.21499952,21.8799998,19.3333327,22.6766669,20.04166667,21.986667,20.79666583,21.40166601,20.90833346,22.37833341,22.69500033,22.87833277,23.03500048,22.83500036,22.09166718,23.02500025,23.30499967,22.62333361,21.84500058
21.23000081,21.38166618,20.24666659,22.30833371,21.29000028,21.77500025,20.94666672,20.62666639,21.74666723,21.98166656,21.19166629,21.00999959,22.32166608,20.98333295,20.86500041,21.66833305,21.88666662,22.08833377,21.46833356,20.92333349
21.59000015,21.78166644,18.09999975,17.70333354,20.54500008,20.89333344,20.87833341,20.41333326,20.59500058,20.60999997,21.44999949,21.73833338,22.38333384,21.79999987,18.82166608,21.15500005,23.06833331,22.44333331,20.33166631,18.5466671
10.91666651,10.95999972,10.96499952,7.849999905,12.21999979,9.751666705,11.40833346,10.11666679,11.68999974,10.59166638,11.7216665,11.55166658,11.2300005,13.31999969,11.23666668,10.97666677,13.10999997,13.63000011,11.20499945,11.59499963
15.86666711,16.48000081,15.30333328,12.79833349,16.47666677,14.94833279,15.90666644,15.32000001,15.9483331,15.31833331,16.375,16.26000055,15.78333346,17.56000042,15.67499987,15.4483331,17.26666705,17.56666724,15.61666648,15.35500018
23.42833328,22.03833326,22.48333295,23.22833252,24.5049998,23.27999942,23.47833379,22.92500051,24.08333333,23.15833346,23.33833377,23.79333369,23.54833349,22.95833397,22.25166702,22.57833354,22.80166626,22.13333321,22.80333392,23.5466671
23.02500025,24.14166641,21.42666626,23.40166664,22.92999903,24.4816672,22.6850001,22.50499916,23.46166611,23.29333369,22.67999967,23.01333237,24.18666649,22.45666631,21.19500033,24.50166639,23.80333265,23.8016669,22.71166611,21.82500013
24.40666707,24.67999967,22.95500056,25.22333272,23.94666735,24.90166664,24.17666626,23.69833374,25.46833229,25.34666634,25.0966657,24.1483326,25.236667,24.03500048,23.48333359,25.1899999,25.65500005,25.96666718,24.51333237,23.96833356
24.22333272,24.60166677,22.21666718,24.625,23.68666712,24.53166707,23.70333354,23.4083341,24.96333313,24.75666746,24.34333356,24.82666588,24.4766674,23.85166677,22.40666707,25.14833387,24.81000074,24.94499969,23.85499954,23.17833328
27.48333295,27.13500023,26.62666639,27.72833316,26.54500008,26.97666677,26.27166684,25.56666692,27.80999947,27.05166626,26.80000051,26.60166677,26.94666608,26.66833369,26.90999985,27.21333313,27.08833313,27.13666662,27.21999995,27.0600001
28.99166552,28.28000005,28.42333349,28.7316672,30.54999987,29.38166682,30.25833384,29.21166611,29.32999992,28.8333327,29.91166687,29.69833247,29.68666649,29.736667,28.79666646,29.23499934,29.89166705,29.53166707,29.33166631,29.52166748
21.12833341,21.54500008,17.59833336,17.23666636,19.95499992,20.52833303,20.40833282,20.30500031,20.25500043,20.07833354,20.89000066,21.18333308,21.89666684,21.43333308,18.66833305,20.70499992,22.58833313,21.75666618,19.81666692,17.9416666
27.76666641,27.59500058,27.58000056,27.78333219,27.21166674,27.6433328,27.24666723,27.3983326,28.98333295,27.86833318,27.83833249,27.57833417,27.28000069,27.42333349,27.98833402,28.29999924,27.52166621,27.73999977,27.65333303,28.04666646
19.79333305,21.4266669,18.90333303,20.97166697,20.69666672,21.31833331,20.07499949,19.63666598,20.21333377,21.3149999,19.36999957,20.45833333,21.50333341,19.90333366,19.51666641,21.78166707,20.78166707,20.46999995,20.65166664,19.8100001
21.82333374,22.5733331,20.47166634,22.40999985,22.60999997,22.69499969,21.6016674,21.40333303,21.88833237,23.15666707,20.81833331,22.07999992,22.57666651,21.82500013,21.42499987,23.26500066,22.40833282,21.66833369,22.0733331,21.05666669
17.28166644,16.32000033,17.43333244,15.90166601,16.79333337,16.42833328,16.78833326,16.75833352,17.45499992,15.7483333,16.11833382,15.71166611,16.6766669,17.638333,18.11500041,16.67000008,16.90166664,16.34166718,15.63333352,17.6850001
18.43333371,19.37833341,16.00500043,15.5066665,17.55666669,18.94333331,18.77000046,19.49833361,18.53500048,17.92333285,17.76666705,18.72333336,18.4533329,19.33499972,15.84833368,18.32166672,19.77333323,18.85666593,17.75,16.29166698
27.10333379,26.71499952,25.70166651,27.33833377,26.00166639,26.95333417,25.98333359,26.05333265,27.88499959,27.1533343,27.6766669,26.30499903,26.66333326,26.18666649,25.5833327,26.67333349,27.82500013,27.76000086,26.38833364,26.16166687
24.94000053,25.4533329,22.61499977,25.19000053,24.29500008,24.87833277,24.02833303,23.51500003,26.35333316,25.03166644,24.75166639,25.30166626,24.611667,24.51833344,22.92833328,25.45999908,25.88499959,25.11666679,24.36333338,24.23833338
23.98999977,23.82166608,21.08333333,22.61666679,24.0783329,23.23333295,22.91333326,23.0183328,23.13333384,23.40500005,24.4483331,24.57000033,25.17166646,24.13500023,21.54500008,23.61999957,24.69166692,24.13333321,23.61333338,22.96333377
19.33166695,18.62500064,18.80000051,17.74333318,20.91833369,18.23666668,20.87666639,18.91166623,18.42833328,18.48166656,20.15999985,20.125,21.40500005,21.06333288,19.73333295,19.17499987,20.48166656,21.0600001,20.30833308,18.86166636
29.61833318,28.90666644,29.3933328,28.75333405,31.82833354,29.73000081,31.69000053,29.82666588,29.5183328,29.32666651,31.08833377,30.91166687,31.53833389,31.42333285,30.37999916,29.98000018,31.40833346,31.36000061,31.07666588,29.85999997
15.68666649,15.45833302,16.82166672,12.86999957,16.50333341,14.35999966,16.85000006,15.08499972,16.43833319,14.84833304,16.56000042,16.38833364,16.96000004,17.45166715,16.9283336,16.66999976,17.79833317,17.32666651,16.20166651,16.361667
15.89166641,15.69333363,15.24666691,13.05166658,16.97666645,14.66666667,16.30166626,15.65000025,15.19333331,15.59166718,17.01500034,16.85499986,16.94666672,17.08000056,15.41000017,15.64833323,17.04999987,17.72166634,16.03500017,15.01166662
21.12166659,21.94833374,17.90999985,17.93833319,19.9266669,21.15833282,20.67499987,20.875,20.69166692,20.54166667,20.61666679,21.36666679,22.07500013,21.46166674,18.68333308,21.18166669,23.25333341,21.6200002,20.45000013,18.47333336
26.64500046,25.71500015,24.72666677,26.73833338,27.36500041,25.72166697,26.07333438,25.3283329,27.96666654,26.68166606,26.29500071,27.67833265,26.58833377,26.54333369,24.79333369,25.76500003,27.5649999,25.06166585,26.51999982,26.75166766
25.50500043,25.64499982,23.90500005,26.03833389,24.78999964,25.56166649,24.94499969,24.48000018,26.38833427,26.37666575,26.32500013,25.10499954,25.92833265,24.56833331,24.28500048,25.76333364,26.59333293,26.77499898,25.75000064,24.8799998
12.37833309,12.97166665,12.45666663,9.026666641,13.28999996,11.54666678,13.27000014,12.12166691,13.03833342,12.55499999,13.7516667,13.88500023,13.22666581,15.12833309,12.96000036,12.90666691,14.70333354,14.81500053,13.18666649,12.58499972
20.69000053,19.95000013,19.98666636,20.15166664,22.21833293,20.29999987,21.875,20.03833326,19.87833277,19.7266674,21.52333387,21.28000005,22.22500038,21.82166672,20.91500028,20.52833303,21.42499987,21.80499967,21.36833254,20.72166634
21.96500015,23.22833252,20.56166649,22.41666667,22.73833338,22.79833349,21.74166616,21.65333303,21.99666659,22.98333295,21.26166662,22.29500071,23.34833336,21.96500079,21.53499985,23.04500008,22.7966671,22.49333318,22.41666667,21.76166725
27.20666631,26.75833321,26.00166639,27.16500028,26.1983331,27.04500071,26.53666623,26.59333293,28.38666662,27.48000018,27.59999975,26.37999916,26.68333371,27.01500003,26.43166669,27.4266669,27.54666646,27.16833305,27.08333397,27.41000048
